"id","game_title","year"
"3061","Darkstone","2001"
"3062","NCAA March Madness 2003","2002"
"3064","Thrillville","2006"
"3065","NHL 10","2009"
"3066","Jikkyou World Soccer 2000 Final Edition","2000"
"3068","Puzzler Brain Games","2012"
"3069","Dragon Quest Monsters: Caravan Heart","2003"
"3070","Strawberry Shortcake: Summertime Adventure","2004"
"3073","Street Fighter Anniversary Collection","2004"
"3074","Legend of Legaia","1998"
"3075","Napoleon: Total War","2010"
"3076","Fist of the North Star: Ken's Rage","2010"
"3077","Wario: Master of Disguise","2007"
"3080","Tiger Woods PGA Tour 09","2008"
"3081","Keystone Kapers","1982"
"3083","New Play Control! Pikmin","2008"
"3084","Shrek: Hassle at the Castle","2002"
"3085","Suikoden IV","2004"
"3086","Gods Eater Burst","2010"
"3087","Disney's Kim Possible 2: Drakken's Demise","2004"
"3088","Um Jammer Lammy","1998"
"3089","Brothers In Arms: Road to Hill 30","2005"
"3092","Taiko no Tatsujin DS: Touch de Dokodon!","2007"
"3093","F1 2015","2015"
"3094","Scene It? Box Office Smash","2008"
"3095","Animaniacs Ten Pin Alley","1998"
"3102","Radiata Stories","2005"
"3103","F-Zero GX","2003"
"3106","Yoshi Topsy-Turvy","2004"
"3107","Up","2009"
"3108","Monster Jam: Maximum Destruction","2002"
"3109","Real Heroes: Firefighter","2009"
"3110","Cartoon Network Block Party / Cartoon Network Speedway Double Pack","2005"
"3111","World of Dragon Warrior - Torneko: The Last Hope","1999"
"3113","MLB 14: The Show","2014"
"3115","Advance Wars 2: Black Hole Rising","2003"
"3116","Fire Emblem: Shadow Dragon","2008"
"3117","Centipede","1998"
"3118","Drakengard","2003"
"3119","SingStar Pop Hits","2007"
"3120","Kung-Fu Master","1987"
"3121","Champions: Return to Arms","2005"
"3122","Harry Potter and the Goblet of Fire","2005"
"3123","SingStar R&B","2007"
"3124","Mary-Kate and Ashley: Magical Mystery Mall","2000"
"3126","Disney Sing It: Party Hits","2010"
"3127","Dead or Alive 5","2012"
"3128","Star Ocean: First Departure","2007"
"3129","Super Robot Taisen Impact","2002"
"3131","The Black Eyed Peas Experience","2011"
"3132","Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken","2008"
"3133","Sengoku Basara: Samurai Heroes","2010"
"3135","Paws & Claws: Pet Vet","2007"
"3137","Crash Bandicoot Purple: Ripto's Rampage","2004"
"3139","Spyro: A Hero's Tail","2004"
"3140","Crash of the Titans","2007"
"3142","Crash: Twinsanity","2004"
"3146","GoldenEye: Rogue Agent","2004"
"3148","Lost Planet: Extreme Condition","2008"
"3150","Rayman 3D","2011"
"3151","LEGO Marvel's Avengers","2016"
"3153","X2: Wolverine's Revenge","2003"
"3154","Stuntman: Ignition","2007"
"3155","NBA Live 06","2005"
"3159","Castlevania","1999"
"3160","Rayman 2: The Great Escape","1999"
"3161","Nicktoons Collection: Game Boy Advance Video Volume 1","2004"
"3164","Onimusha: Dawn of Dreams","2006"
"3165","NieR","2010"
"3166","The Princess and the Frog","2009"
"3167","Sega Rally Revo","2007"
"3168","SpongeBob SquarePants: Game Boy Advance Video Volume 1","2004"
"3169","Gravity Rush","2012"
"3170","Konami Collector's Series: Arcade Advanced","2002"
"3171","White Knight Chronicles II","2010"
"3172","Wolfenstein","2009"
"3173","Jampack Volume 13 (RP-T)","2005"
"3174","LEGO Dimensions","2015"
"3175","Start the Party!","2010"
"3176","Cruis'n World","1998"
"3179","The Walking Dead: Survival Instinct","2013"
"3180","Donkey Kong Barrel Blast","2007"
"3181","Okami","2008"
"3182","Lemony Snicket's A Series of Unfortunate Events","2004"
"3184","Family Feud: 2010 Edition","2009"
"3185","Red Steel 2","2010"
"3186","X-Men Legends II: Rise of Apocalypse","2005"
"3187","Nightmare Creatures","1997"
"3188","SingStar Queen","2009"
"3190","F1 2013","2013"
"3191","Juiced 2: Hot Import Nights","2007"
"3192","Tony Hawk's Pro Skater 2x","2001"
"3193","Sim Theme Park","1999"
"3197","NASCAR 06: Total Team Control","2005"
"3199","Dogz","2004"
"3203","Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb","2012"
"3206","Super Castlevania IV","1991"
"3208","Angry Birds Trilogy","2012"
"3209","Condemned 2: Bloodshot","2008"
"3210","Cabela's Big Game Hunter (2008)","2007"
"3211","Mobile Suit Z Gundam: AEUG vs. Titans","2003"
"3214","God of War III","2015"
"3215","Ape Escape 2","2002"
"3216","Metroid Prime: Trilogy","2009"
"3217","X-Man","1982"
"3220","The Sims 3: Generations","2011"
"3222","Battle of Giants: Dragons","2009"
"3223","Dragon Quest Monsters Joker 3","2016"
"3224","Sonic & All-Stars Racing Transformed","2012"
"3225","Shin Megami Tensei: Persona 3 FES","2007"
"3226","FIFA Soccer 2002","2001"
"3227","Shin Megami Tensei: Persona 3 Portable","2009"
"3228","Final Fantasy VII International","1997"
"3230","Okami","2006"
"3234","Wet","2009"
"3235","MySims Racing","2009"
"3236","Buzz Lightyear of Star Command","2000"
"3237","Namco Museum","2002"
"3238","Nobunaga no Yabou: Haouden","1993"
"3239","Virtua Cop","1995"
"3241","Tony Hawk's American Wasteland","2005"
"3242","WWF in Your House","1996"
"3244","Vanquish","2010"
"3245","Wild ARMs 3","2002"
"3246","NBA ShootOut '97","1997"
"3247","Sacred 2: Fallen Angel","2009"
"3250","Battlezone","1982"
"3255","Tak 2: The Staff of Dreams","2004"
"3257","Warriors Orochi 3","2011"
"3258","Bolt","2008"
"3259","Viewtiful Joe","2003"
"3261","Beetle Adventure Racing!","1999"
"3262","FIFA Soccer","2012"
"3263","Disney's 102 Dalmatians: Puppies to the Rescue","2000"
"3264","Wipeout: The Game","2010"
"3265","Strike Force Bowling","2004"
"3268","Halloween","1982"
"3269","Dragon Ball Z: Ultimate Tenkaichi","2011"
"3271","Bass Landing","1999"
"3272","XGRA: Extreme G-Racing Association","2004"
"3273","Mario's Picross","1995"
"3274","Pac-Man Player's Choice Bundle","2003"
"3275","Rocksmith 2014","2014"
"3276","Fighters MEGAMiX","1996"
"3277","Bahamut Lagoon","1996"
"3279","Tomb Raider III: Adventures of Lara Croft","1998"
"3280","Toshochu: Run for Money","2012"
"3281","Dragon Quest Monsters: Joker 2 Professional","2011"
"3282","NFL Quarterback Club 99","1998"
"3283","Super Robot Taisen ? Gaiden","2001"
"3284","Formula 1: Championship Edition","2006"
"3285","Muramasa: The Demon Blade","2009"
"3287","SingStar Singalong With Disney","2008"
"3288","NHL 16","2015"
"3290","NFL Fever 2003","2002"
"3291","Samurai Warriors 2","2006"
"3292","Dynasty Warriors 8","2013"
"3293","Disney Sing It: Family Hits","2010"
"3294","2 Games in 1: Sonic Battle & ChuChu Rocket!","2005"
"3295","Robotech: Battlecry","2002"
"3296","Dora the Explorer: Super Spies","2004"
"3297","New Carnival Games","2010"
"3300","Cooking Mama 4: Kitchen Magic!","2011"
"3301","Texas Hold 'Em Poker","2004"
"3302","Time Crisis 3","2003"
"3303","Cabela's Monster Buck Hunter","2010"
"3304","Ganbaru Watashi no Kakei Diary","2007"
"3306","New Play Control! Donkey Kong Jungle Beat","2008"
"3307","Small Soldiers","1998"
"3308","Yakuza: Dead Souls","2011"
"3309","Littlest Pet Shop: Garden","2008"
"3310","Half-Life 2","2005"
"3311","Duke Nukem: Total Meltdown","1997"
"3312","Pac-Man Party","2010"
"3313","Jak and Daxter: The Lost Frontier","2009"
"3314","Major League Baseball 2K8","2008"
"3315","SimCity DS","2007"
"3316","Major League Baseball 2K9","2009"
"3317","Petz: Dogz Pack","2008"
"3319","Final Fantasy IV Advance","2005"
"3321","Tomb Raider Chronicles","1999"
"3323","Dragon Ball Z: Buu's Fury","2004"
"3325","Guitar Hero: Smash Hits","2009"
"3326","Disney TH!NK Fast: The Ultimate Trivia Showdown","2008"
"3327","Spider-Man: Mysterio's Menace","2001"
"3328","Madden NFL 2000","1999"
"3330","Game & Watch Gallery 4","2002"
"3331","Littlest Pet Shop: Jungle","2008"
"3332","Naruto: Ultimate Ninja","2003"
"3333","Fighters Uncaged","2010"
"3335","New Play Control! Pikmin 2","2009"
"3337","Hot Shots Golf: World Invitational","2011"
"3338","Monster Trucks","2004"
"3340","Wave Race: Blue Storm","2001"
"3341","Backyard Wrestling: Don't Try This at Home","2003"
"3343","MonHun Nikki: Poka Poka Ailu Mura","2010"
"3344","The Golden Compass","2007"
"3346","Phineas and Ferb: Across the 2nd Dimension","2011"
"3349","WarioWare D.I.Y.","2009"
"3352","Alice: Madness Returns","2011"
"3353","LEGO The Hobbit","2014"
"3354","Suikoden","1995"
"3355","Secret Agent Clank","2009"
"3356","Rayman Arena","2001"
"3358","Jaws Unleashed","2006"
"3359","Puyo Puyo Sun","1997"
"3360","Half-Life","2001"
"3362","Mickey's Speedway USA","2000"
"3363","International Superstar Soccer 64","1997"
"3365","NASCAR Heat 2002","2001"
"3366","Disney Sing It! High School Musical 3: Senior Year","2008"
"3367","From TV Animation One Piece: Grand Battle 2","2002"
"3368","BeatMania Append 3rdMix","1998"
"3369","PGR3 - Project Gotham Racing 3","2005"
"3372","Xena: Warrior Princess","1998"
"3373","Scribblenauts: Unlimited","2012"
"3374","Front Mission","1995"
"3376","Kinect Rush: A Disney Pixar Adventure","2012"
"3380","Asphalt: Urban GT","2004"
"3381","The Fight: Lights Out","2010"
"3382","Dai-2-Ji Super Robot Taisen ?","2003"
"3383","Pokemon Trozei!","2005"
"3385","Hot Wheels: Stunt Track Challenge","2004"
"3386","Rayman Origins","2012"
"3389","Dai-3-Ji Super Robot Taisen ?: Shuuen no Ginga e","2005"
"3390","Jeopardy!","2010"
"3391","Jikkyou Powerful Pro Yakyuu '97 Kaimakuban","1997"
"3392","Assassin's Creed: Brotherhood","2011"
"3393","CyberTiger","1998"
"3394","Jampack Fall 2001","2001"
"3396","Final Fantasy: The 4 Heroes of Light","2009"
"3398","Kane & Lynch 2: Dog Days","2010"
"3399","NFL Blitz 2001","2000"
"3400","Total War: Shogun 2","2011"
"3401","Jikkyou Powerful Pro Yakyuu '98 Kaimakuban","1998"
"3403","Yakuza 5","2012"
"3405","BurgerTime","1981"
"3406","Naruto: The Broken Bond","2008"
"3407","2002 FIFA World Cup","2002"
"3410","Smurf: Rescue In Gargamel's Castle","1981"
"3411","Spelling Challenges and more!","2007"
"3412","Go Diego Go! Great Dinosaur Rescue","2008"
"3414","Extreme-G","1997"
"3415","Ready 2 Rumble Boxing","1999"
"3416","Payday 2","2013"
"3417","Dead or Alive Xtreme Beach Volleyball","2003"
"3418","Tales of Rebirth","2004"
"3421","Tales of Zestiria","2015"
"3422","Silent Hill: Shattered Memories","2010"
"3424","Skate it","2008"
"3425","Game Party in Motion","2010"
"3426","Barbie: Race & Ride","1999"
"3427","Lost: Via Domus","2008"
"3428","Mega Man Anniversary Collection","2004"
"3429","Final Fantasy Anniversary Edition","2007"
"3430","Dark Souls II","2015"
"3434","Harvest Moon: Friends of Mineral Town","2003"
"3435","Backyard NBA Basketball","2003"
"3437","Kirby's Dream Course","1994"
"3438","Doom 3 BFG Edition","2012"
"3439","Mega Man X7","2003"
"3440","Top Spin 3","2008"
"3442","SpongeBob SquarePants featuring Nicktoons: Globs of Doom","2008"
"3443","The Conduit","2009"
"3445","Tokimeki Memorial: Forever with You","1995"
"3446","Diablo","1997"
"3447","Cabela's Dangerous Hunts 2011","2010"
"3448","NHL 15","2014"
"3449","Q*bert","1982"
"3450","Romancing SaGa","2005"
"3451","The Lord of the Rings: The Third Age","2004"
"3452","Harvest Moon: Sunshine Islands","2008"
"3453","Trivial Pursuit","2009"
"3454","The Legend of Spyro: Dawn of the Dragon","2008"
"3455","The Sims 3: World Adventures","2009"
"3456","Kinect Sports Rivals","2014"
"3461","Tom Clancy's HAWX","2009"
"3462","Sammy Sosa High Heat Baseball 2001","2000"
"3464","Terminator 3: Rise of the Machines","2003"
"3465","Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)","2010"
"3466","Harvest Moon: The Tale of Two Towns","2010"
"3467","FIFA: Road to  World Cup 98","1997"
"3468","World Cup 98","1998"
"3469","International Superstar Soccer '98","1998"
"3471","Unreal Tournament","2000"
"3472","Digimon World 2","2000"
"3473","Tales of Phantasia","1998"
"3475","Xenosaga Episode II: Jenseits von Gut und B�se","2004"
"3476","Gex: Enter the Gecko","1998"
"3477","Shrek 2: Beg for Mercy","2004"
"3478","Mega Man Star Force 2: Zerker x Ninja / Saurian","2007"
"3479","JoJo's Bizarre Adventure: All Star Battle","2013"
"3480","Petz Nursery","2009"
"3481","Contra: Shattered Soldier","2002"
"3482","Championship Motocross featuring Ricky Carmichael","1998"
"3483","Dragon Ball Z: Chou Saiya Densetsu","1992"
"3486","Phoenix Wright: Ace Attorney - Justice for All","2006"
"3487","Fire Emblem: Seisen no Keifu","1996"
"3489","Disgaea 4: A Promise Unforgotten","2011"
"3490","BlazBlue: Calamity Trigger","2009"
"3491","Tenchu 2: Birth of the Stealth Assassins","2000"
"3493","MLB 11: The Show","2011"
"3494","Naruto: Uzumaki Chronicles 2","2006"
"3495","NHL 06","2005"
"3497","Rooms: The Main Building","2010"
"3498","Rapala: We Fish","2009"
"3499","Parasite Eve II","1999"
"3501","NFL Blitz 2000","1999"
"3502","Ratchet & Clank: Quest for Booty","2008"
"3506","Shin Megami Tensei IV","2013"
"3507","Theme Park","1994"
"3508","Blacksite: Area 51","2007"
"3510","ATV Offroad Fury: Blazin' Trails","2005"
"3511","Far Cry Instincts","2005"
"3515","Tales of the Abyss","2005"
"3518","Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu","2000"
"3519","Spyro Orange: The Cortex Conspiracy","2004"
"3520","Enslaved: Odyssey to the West","2010"
"3522","Beyond The Beyond","1995"
"3525","Warhammer 40,000: Space Marine","2011"
"3527","No More Heroes","2007"
"3528","Assassin's Creed II","2010"
"3529","Petz Wild Animals: Tigerz","2008"
"3530","Naruto: Ultimate Ninja 2","2004"
"3531","Defiance","2013"
"3532","Dogz","2006"
"3533","3D Dot Game Heroes","2009"
"3534","The Mysterious Murasame Castle","1986"
"3535","NBA Hangtime","1997"
"3536","Jillian Michaels Fitness Ultimatum 2010","2009"
"3538","Grease","2010"
"3539","Blood Wake","2001"
"3540","Dynasty Warriors 5: Xtreme Legends","2005"
"3542","Dora The Explorer: Dora Saves the Snow Princess","2008"
"3543","Jampack Summer 2002","2002"
"3544","FIFA World Cup Germany 2006","2006"
"3545","Wreckless: ThE YaKuza MisSiOns","2002"
"3546","Super Bomberman","1992"
"3548","Spec Ops: The Line","2012"
"3549","SD Gundam G Generation Neo","2002"
"3550","Bratz 4 Real","2007"
"3551","RalliSport Challenge","2002"
"3552","Resident Evil Outbreak File #2","2004"
"3553","Bob the Builder: Can We Fix It?","2000"
"3554","XIII","2003"
"3555","NHL 14","2013"
"3561","Breath of Fire IV","2000"
"3563","Odin Sphere","2007"
"3564","Donkey Kong Jungle Climber","2007"
"3565","The Incredible Hulk","2003"
"3566","Ms. Pac-Man Maze Madness","2004"
"3567","Arena Football","2006"
"3569","NHL Hitz 20-02","2001"
"3570","Classic NES Series: Dr. Mario","2004"
"3572","NCAA March Madness 07","2007"
"3573","Monsters, Inc. Scream Team","2001"
"3574","Harry Potter Collection","2006"
"3576","Yu-Gi-Oh! World Championship Tournament 2004","2004"
"3577","Cabela's Big Game Hunter 2005 Adventures","2004"
"3578","Hotel Dusk: Room 215","2007"
"3579","Knockout Kings 2001","2001"
"3583","Battlefield 2: Modern Combat","2005"
"3585","All-Star Baseball 2002","2001"
"3586","Backyard NFL Football","2002"
"3588","NASCAR Rumble","2000"
"3589","Tony Hawk: Shred","2010"
"3591","WWE Raw 2","2003"
"3592","Resident Evil 2","1999"
"3593","Mega Man X2","1993"
"3594","Manhunt 2","2007"
"3595","Xenoblade Chronicles","2015"
"3596","Fullmetal Alchemist and the Broken Angel","2003"
"3598","Final Fantasy IV: The Complete Collection","2011"
"3599","Frontlines: Fuel of War","2008"
"3600","Lips: Number One Hits","2009"
"3601","Hamtaro: Ham-Hams Unite!","2001"
"3602","Batman Begins","2005"
"3603","Viva Pinata: Pocket Paradise","2008"
"3604","Dr. Seuss' The Cat in the Hat","2003"
"3605","Barbie Groovy Games","2002"
"3606","Yu-Gi-Oh! Reshef of Destruction","2003"
"3607","Blinx: The Time Sweeper","2002"
"3609","Archer Maclean's Mercury","2005"
"3610","ESPN NFL Football","2003"
"3611","Fatal Fury Special","1994"
"3612","Catz","2006"
"3614","DS Bimoji Training","2008"
"3616","Petz Catz Clan","2008"
"3617","Soul Sacrifice","2013"
"3618","G-Force","2009"
"3620","Soldier of Fortune: Gold Edition","2001"
"3621","Rune Factory: A Fantasy Harvest Moon","2006"
"3622","Monster Jam: Path of Destruction","2010"
"3623","Rapala Tournament Fishing!","2006"
"3624","MX 2002 Featuring Ricky Carmichael","2001"
"3625","Purr Pals","2007"
"3627","God of War: Origins Collection","2011"
"3628","MX vs. ATV: Alive","2011"
"3629","Lunar: Silver Star Story Complete","1998"
"3631","NBA Showtime: NBA on NBC","1999"
"3632","ZhuZhu Pets 2: Featuring The Wild Bunch","2010"
"3634","Soul Reaver 2","2001"
"3635","Metal Gear Solid 3: Subsistence","2005"
"3636","Sly Cooper: Thieves in Time","2013"
"3637","The Godfather (old US sales)","2006"
"3638","Daytona USA","1994"
"3639","Harry Potter and the Deathly Hallows - Part 1","2010"
"3640","Tiger Woods PGA Tour 13","2012"
"3641","WWF Raw","2002"
"3642","Shin Super Robot Taisen","1996"
"3643","Jump Super Stars","2005"
"3644","Legends of WrestleMania","2009"
"3645","The Activision Decathlon","1982"
"3646","Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~","2001"
"3647","50 Classic Games","2009"
"3648","Fighting Force 2","1999"
"3649","Sakura Wars","1996"
"3650","Yokai Sangokushi","2016"
"3651","Extermination","2001"
"3652","Batman: Vengeance","2001"
"3653","Unit 13","2012"
"3654","Tatsunoko vs. Capcom: Ultimate All-Stars","2010"
"3655","TMNT","2007"
"3656","F.E.A.R.","2007"
"3657","Secret Agent Clank(US sales)","2008"
"3659","Derby Stallion 04","2004"
"3661","Barbie Horse Adventures: Riding Camp","2008"
"3662","CrossworDS","2008"
"3663","Tony Hawk's Pro Skater 3","2002"
"3664","Mega Man Zero","2002"
"3665","Contender 2","2000"
"3666","The Amazing Spider-Man 2 (2014)","2014"
"3667","Star Wars: Dark Forces","1996"
"3668","SD Gundam G Generation Zero","1999"
"3669","Super Robot Taisen F","1997"
"3671","Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!","2002"
"3672","Time Crisis: Razing Storm","2010"
"3674","Super Robot Taisen F Kanketsuhen","1998"
"3676","Rune Factory 4","2012"
"3677","Summer Sports: Paradise Island","2008"
"3679","Dynasty Warriors: Gundam 3","2010"
"3680","Mortal Kombat 3","1995"
"3682","Jak X: Combat Racing","2005"
"3683","Metro 2033","2010"
"3684","Are You Smarter than a 5th Grader? Make the Grade","2008"
"3685","American Idol","2003"
"3686","Top Gun: Fire at Will!","1996"
"3688","Dragon Ball Z: Shin Budokai","2006"
"3691","SingStar Summer Party","2008"
"3693","NBA Live 10","2009"
"3696","Gekikuukan Pro Yakyuu: At the End of the Century 1999","2000"
"3697","Medarot 2: Kabuto / Kuwagata Version","1999"
"3698","Excite Truck","2006"
"3700","System 3 presents Ferrari Challenge Trofeo Pirelli","2008"
"3701","Dance Dance Revolution Ultramix","2003"
"3703","Crash Tag Team Racing","2005"
"3704","Two Worlds II","2011"
"3707","Front Mission 4","2003"
"3708","The Fairly Odd Parents: Breakin' Da Rules","2003"
"3710","Inazuma Eleven","2008"
"3711","Ninokuni: Shikkoku no Madoushi","2010"
"3713","Resident Evil: Revelations 2","2015"
"3715","SRS: Street Racing Syndicate","2004"
"3716","Despicable Me: The Game - Minion Mayhem","2010"
"3718","Action Force","1982"
"3719","Gauntlet Legends","1999"
"3720","FIFA 99","1998"
"3721","Kidou Senshi Gundam: Extreme VS","2011"
"3723","Tales of Symphonia","2013"
"3724","Bust A Groove","1998"
"3725","Fire Emblem: Path of Radiance","2005"
"3726","Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon","2002"
"3727","Let's Draw!","2008"
"3728","Pachi-Slot Aruze Oukoku 2","1999"
"3730","Valkyria Chronicles II","2010"
"3733","Rune Factory 2: A Fantasy Harvest Moon","2008"
"3734","Terminator Salvation","2009"
"3736","Bratz: Rock Angelz","2004"
"3737","How to Train Your Dragon","2010"
"3740","Greg Hastings' Tournament Paintball","2004"
"3741","Hello Kitty: Big City Dreams","2008"
"3742","Star Fox Command","2006"
"3743","World Soccer Winning Eleven 7 International (JP version)","2004"
"3744","ESPN NBA Basketball","2003"
"3745","Inazuma Eleven GO","2011"
"3746","Over the Hedge","2006"
"3747","Mat Hoffman's Pro BMX","2001"
"3748","Lego Star Wars: The Force Awakens","2016"
"3750","Popeye","1982"
"3751","Magician's Quest: Mysterious Times","2008"
"3752","The Hobbit","2003"
"3753","War of the Monsters","2003"
"3754","Tales of Symphonia: Dawn of the New World","2008"
"3756","The Incredible Hulk: Ultimate Destruction","2005"
"3758","Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare","1998"
"3759","Jewel Master Egypt","2009"
"3760","Time Crisis II","2001"
"3761","Clock Tower","1996"
"3762","NCAA March Madness 06","2005"
"3764","Jampack Volume 11","2004"
"3765","Dragon's Crown","2013"
"3766","Tactics Ogre: Let Us Cling Together","2010"
"3767","Legacy of Kain: Defiance","2003"
"3768","SpongeBob SquarePants: Game Boy Advance Video Volume 2","2004"
"3769","NCAA March Madness 2005","2004"
"3770","007 Racing","2000"
"3771","Conflict: Vietnam","2004"
"3772","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","2004"
"3773","Mystery Dungeon: Shiren the Wanderer","2006"
"3774","SimAnimals","2009"
"3775","MLB SlugFest 20-04","2003"
"3776","Gex 3: Deep Cover Gecko","1999"
"3777","NASCAR 09","2008"
"3778","Blitz: The League","2004"
"3779","Jampack Vol. 2","1996"
"3781","Sesame Street: Once Upon A Monster","2011"
"3782","Virtual Soccer","1993"
"3783","Romance of the Three Kingdoms IV: Wall of Fire","1994"
"3784","Winning Post","1993"
"3786","SingStar Dance","2010"
"3787","Kirby and the Rainbow Curse","2015"
"3790","Medal of Honor: European Assault","2005"
"3792","Ty the Tasmanian Tiger 2: Bush Rescue","2004"
"3794","NBA 06","2005"
"3797","We Cheer","2008"
"3800","Alice in Wonderland","2010"
"3801","Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team","2010"
"3802","Front Mission 2","1997"
"3804","F.E.A.R. 2: Project Origin","2009"
"3807","Are You Smarter Than A 5th Grader?","2007"
"3809","Oni","2001"
"3811","Juiced","2005"
"3812","The Warriors","2005"
"3813","Batman: Arkham Origins Blackgate","2013"
"3814","J-League Soccer: Prime Goal 2","1994"
"3815","Go Diego Go! Safari Rescue","2008"
"3817","Picross 3D","2009"
"3819","Silent Hill: Origins","2007"
"3821","Wayne Gretzky's 3D Hockey","1996"
"3822","Pachi-Slot Aruze Oukoku 4","2000"
"3823","Return to Castle Wolfenstein: Operation Resurrection","2003"
"3824","Mario Tennis: Power Tour","2005"
"3825","Seaman","1999"
"3827","The Grinch","1999"
"3828","GT Pro Series","2006"
"3829","Tales of Destiny","2006"
"3830","Spectrobes: Beyond the Portals","2008"
"3831","Classic Word Games","2009"
"3832","Naruto Shippuden: Clash of Ninja Revolution 3","2009"
"3835","Final Fantasy Chronicles","2001"
"3837","Syphon Filter 3","2001"
"3839","Metal Gear Solid 2: Substance","2002"
"3840","We Love Katamari","2005"
"3842","Way of the Samurai 3","2008"
"3844","DC Universe Online","2011"
"3846","Mega Man 6","1993"
"3847","Mission: Impossible","1999"
"3848","Final Fantasy Explorers","2014"
"3849","Rival Schools: United By Fate","1998"
"3854","Cars Toon: Mater's Tall Tales","2010"
"3856","Swing Away Golf","2000"
"3857","J-League Pro Soccer Club o Tsukurou! 3","2003"
"3858","Tomb Raider: Legend","2006"
"3860","Freedom Fighters","2003"
"3862","That's So Raven 2: Supernatural Style","2005"
"3863","Lair","2007"
"3865","The Punisher","2005"
"3866","Front Mission 3","1999"
"3867","Kenkou Ouen Recipe 1000: DS Kondate Zenshuu","2006"
"3868","SSX On Tour","2005"
"3871","Petz: Hamsterz Life 2","2007"
"3872","Omega Boost","1999"
"3873","The Sims 2: Open for Business","2006"
"3877","Jampack Winter 2002","2002"
"3879","Way of the Samurai","2002"
"3883","Pac-Man Fever","2001"
"3885","The 3rd Birthday","2010"
"3886","Prince of Persia Trilogy","2010"
"3887","International Track & Field","1996"
"3888","100 All-Time Favorites","2009"
"3889","HSX HyperSonic.Xtreme","2002"
"3890","StarCraft II: Legacy of the Void","2015"
"3892","SoulCalibur: Broken Destiny","2009"
"3893","The Saboteur","2009"
"3894","Lords of the Fallen","2014"
"3897","Jam With the Band","2008"
"3899","Jikkyou Powerful Pro Yakyuu 10","2003"
"3900","Summoner","2000"
"3901","Virtual Pool","1997"
"3903","Sega Bass Fishing","2008"
"3904","Fire Emblem: Radiant Dawn","2007"
"3905","Dynasty Warriors","2004"
"3906","SpongeBob SquarePants: Lights, Camera, Pants!","2005"
"3908","Rugrats: Scavenger Hunt","1999"
"3909","Wrecking Crew","1985"
"3910","International Superstar Soccer 2000 (All region sales)","1999"
"3911","Major League Baseball 2K10","2010"
"3912","Monsters vs. Aliens","2009"
"3914","SpongeBob SquarePants: Creature from the Krusty Krab","2006"
"3917","Dai-4-Ji Super Robot Taisen S","1996"
"3918","Disney's Kim Possible: Revenge of Monkey Fist","2002"
"3920","Ace Combat Zero: The Belkan War","2006"
"3921","R.U.S.E.","2010"
"3922","Disgaea 3: Absence of Justice","2008"
"3923","Test Drive Unlimited","2007"
"3925","Picross DS","2007"
"3926","Final Fantasy II Anniversary Edition","2007"
"3927","NHL 07","2006"
"3929","Quantum Break","2016"
"3932","The BIGS","2007"
"3933","Final Fantasy","2000"
"3934","Burnout Revenge","2006"
"3935","Rory McIlroy PGA Tour","2015"
"3936","Euro Truck Simulator","2008"
"3937","Dragon Ball Z: Supersonic Warriors","2004"
"3939","Paws & Claws: Dogs & Cats Best Friends","2007"
"3941","Silent Hill 4: The Room","2004"
"3942","River Raid II","1988"
"3943","Capcom Classics Collection","2005"
"3946","Monopoly Party","2002"
"3947","Hidden Mysteries: Titanic - Secrets of the Fateful Voyage","2009"
"3948","NHL FaceOff 98","1997"
"3949","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","2004"
"3951","NHL 09","2008"
"3953","Looney Tunes: Back in Action","2003"
"3955","Midnight Magic","1983"
"3960","Atelier Rorona: Alchemist of Arland","2009"
"3961","Monster Hunter Freedom 2","2011"
"3962","Dragon Ball Z: Supersonic Warriors 2","2005"
"3963","Avatar: The Last Airbender","2006"
"3964","Blue's Clues: Blue's Big Musical","2001"
"3965","The Mummy Returns","2001"
"3966","Hitman: Blood Money","2006"
"3968","Chopper Command","1982"
"3969","Activision Anthology","2002"
"3970","Crash: Mind Over Mutant","2008"
"3973","Babysitting Mama","2010"
"3974","Boogie","2007"
"3975","Theatrhythm: Final Fantasy","2012"
"3976","Bleach: Soul Resurreccion","2011"
"3979","Dance Dance Revolution Universe 2","2007"
"3980","Star Wars: Jedi Starfighter","2002"
"3981","Tactics Ogre: The Knight of Lodis","2001"
"3982","Fortune Street","2011"
"3983","Super Robot Taisen MX","2004"
"3985","NBA Street Homecourt","2007"
"3987","Bases Loaded '96: Double Header","1995"
"3988","Dead or Alive Ultimate","2004"
"3989","RPG Maker","1997"
"3991","Star Wars: Clone Wars","2002"
"3996","Major League Baseball 2K12","2012"
"3999","Monster Hunter","2004"
"4001","Dreamworks Madagascar Kartz","2009"
