"id","game_title","year"
"188","Donkey Kong Country 2: Diddy's Kong Quest","1995"
"189","Tomodachi Life","2013"
"190","Mario & Sonic at the Olympic Games","2008"
"191","Medal of Honor: Rising Sun","2003"
"192","Kirby's Dream Land","1992"
"193","Fable III","2010"
"195","Microsoft Flight Simulator","1996"
"196","Guitar Hero II","2006"
"197","Resident Evil 5","2009"
"199","Grand Theft Auto: Vice City Stories","2006"
"200","FIFA Soccer 11","2010"
"201","Super Mario Bros.","1999"
"202","Resident Evil","1996"
"203","Tony Hawk's Pro Skater","1999"
"205","Warzone 2100","1999"
"206","Spyro the Dragon","1998"
"207","Link's Crossbow Training","2007"
"208","Guitar Hero III: Legends of Rock","2007"
"209","Fallout 3","2008"
"210","Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","2007"
"211","Uncharted: Drake's Fortune","2007"
"212","Madden NFL 06","2005"
"214","Diddy Kong Racing","1997"
"215","Monster Hunter Freedom 3","2010"
"216","Dr. Mario","1990"
"217","God of War III","2010"
"218","StarCraft II: Wings of Liberty","2010"
"221","Crash Team Racing","1999"
"222","FIFA 17","2016"
"224","Driver 2","2000"
"225","The Simpsons: Hit & Run","2003"
"226","Tony Hawk's Pro Skater 2","2000"
"227","Animal Crossing: City Folk","2008"
"228","The Lord of the Rings: The Two Towers","2002"
"229","Forza Motorsport 4","2011"
"230","Tomb Raider","1996"
"232","The Legend of Zelda: A Link to the Past","1991"
"233","The Legend of Zelda: The Wind Waker","2002"
"234","Mario & Sonic at the Olympic Winter Games","2009"
"235","Luigi's Mansion: Dark Moon","2013"
"236","Splatoon","2015"
"237","The Last of Us","2014"
"16601","Omori","2020"
"239","Madden NFL 2005","2004"
"240","Pitfall!","1981"
"241","Madden NFL 07","2006"
"242","Spider-Man: The Movie","2002"
"243","Dragon Quest VII: Warriors of Eden","2000"
"244","Uncharted: The Nathan Drake Collection","2015"
"246","God of War","2005"
"247","Nintendo Land","2012"
"248","Michael Jackson: The Experience","2010"
"249","Tony Hawk's Pro Skater 3","2001"
"250","Winning Eleven: Pro Evolution Soccer 2007","2006"
"251","The Elder Scrolls IV: Oblivion","2006"
"252","Zelda II: The Adventure of Link","1987"
"253","Need for Speed: Most Wanted","2005"
"254","Resistance: Fall of Man","2006"
"255","Sonic the Hedgehog","1991"
"256","Kingdom Hearts II","2005"
"259","Asteroids","1980"
"260","Fable II","2008"
"261","Halo 5: Guardians","2015"
"262","Super Mario 3D World","2013"
"263","Batman: Arkham Asylum","2009"
"264","Assassin's Creed: Revelations","2011"
"265","Namco Museum","2001"
"266","Metal Gear Solid 3: Snake Eater","2004"
"267","Daxter","2006"
"268","Warcraft II: Tides of Darkness","1995"
"269","The Legend of Zelda: Ocarina of Time","2011"
"270","FIFA Soccer 06","2005"
"271","EyeToy Play","2003"
"272","Uncharted 4: A Thief's End","2016"
"273","Gran Turismo 5 Prologue","2007"
"275","Street Fighter IV","2009"
"277","Teenage Mutant Ninja Turtles","1989"
"278","Excitebike","1984"
"279","Frogger","1997"
"280","Madden NFL 2003","2002"
"281","Watch Dogs","2014"
"282","Half-Life","1997"
"283","Super Mario World 2: Yoshi's Island","1995"
"284","FIFA Soccer 07","2006"
"285","The Legend of Zelda: Skyward Sword","2011"
"286","Street Fighter II Turbo","1992"
"287","Carnival Games","2007"
"289","World of Warcraft: The Burning Crusade","2007"
"290","Fallout: New Vegas","2010"
"291","God of War II","2007"
"292","Forza Motorsport 2","2007"
"293","World Soccer Winning Eleven 9","2005"
"294","Namco Museum Vol.3","1996"
"295","Tekken Tag Tournament","2000"
"296","Far Cry 4","2014"
"297","Star Fox 64","1997"
"299","Golf","1984"
"301","Professor Layton and the Diabolical Box","2007"
"302","Left 4 Dead 2","2009"
"303","Namco Museum: 50th Anniversary","2005"
"304","EA Sports Active","2009"
"305","Assassin's Creed: Unity","2014"
"306","Donkey Kong Land","1994"
"307","Tony Hawk's Underground","2003"
"308","Assassin's Creed IV: Black Flag","2013"
"309","Monster Hunter 4 Ultimate","2014"
"310","MotorStorm","2006"
"312","Tekken 5","2005"
"313","Dragon Warrior III","1988"
"314","Sports Champions","2010"
"315","NBA 2K16","2015"
"316","World Soccer Winning Eleven 8 International","2004"
"317","Flash Focus: Vision Training in Minutes a Day","2007"
"318","Namco Museum Vol.1","1995"
"319","The Legend of Zelda: Link's Awakening","1992"
"320","Mario & Luigi: Bowser's Inside Story","2009"
