"id","movie_title","year"
"197","To Live","1994"
"198","Shershaah","2021"
"199","Satya","1998"
"200","Maanaadu","2021"
"201","The Cranes Are Flying","1957"
"202","Red Beard","1965"
"203","Ayla: The Daughter of War","2017"
"204","Children of Paradise","1945"
"205","Raatchasan","2018"
"206","Jana Gana Mana","2022"
"207","Super Deluxe","2019"
"208","Ordet","1955"
"209","Jaane Bhi Do Yaaro","1983"
"210","Samurai Rebellion","1967"
"211","Chupke Chupke","1975"
"212","Bangalore Days","2014"
"213","The Diamond Arm","1969"
"214","Agent Sai Srinivasa Athreya","2019"
"215","Drishyam","2013"
"216","Kidnapping, Caucasian Style","1967"
"217","Khosla Ka Ghosla!","2006"
"218","Baasha","1995"
"219","Anniyan","2005"
"220","Cat City","1986"
"221","Premam","2015"
"222","Kaun Pravin Tambe?","2022"
"223","Lucia","2013"
"224","Soodhu Kavvum","2013"
"225","Sairat","2016"
"226","From the Village to the City","1974"
"227","The Wolf of Wall Street","2013"
"228","The Great Escape","1963"
"229","The Vaccine War","2023"
"230","No Country for Old Men","2007"
"231","Taxi Driver","1976"
"232","Spider-Man: No Way Home","2021"
"233","Shutter Island","2010"
"234","Jurassic Park","1993"
"235","Howl's Moving Castle","2004"
"236","There Will Be Blood","2007"
"237","Batman Begins","2005"
"238","The Thing","1982"
"239","The Truman Show","1998"
"240","Snatch","2000"
"241","Kill Bill: Vol. 1","2003"
"242","Casino","1995"
"243","The Sixth Sense","1999"
"244","V for Vendetta","2005"
"245","Green Book","2018"
"246","1917","2019"
"247","Die Hard","1988"
"248","Finding Nemo","2003"
"249","Indiana Jones and the Last Crusade","1989"
"250","Gone with the Wind","1939"
"251","A Beautiful Mind","2001"
"252","Pan's Labyrinth","2006"
"253","L.A. Confidential","1997"
"254","Downfall","2004"
"255","The Father","2020"
"256","Unforgiven","1992"
"257","Chinatown","1974"
"258","Monty Python and the Holy Grail","1975"
"259","The Secret in Their Eyes","2009"
"260","Some Like It Hot","1959"
"261","The Elephant Man","1980"
"262","Ran","1985"
"263","Tumbbad","2018"
"264","For a Few Dollars More","1965"
"265","Gangs of Wasseypur","2012"
"266","Drishyam 2","2022"
"267","Klaus","2019"
"268","All About Eve","1950"
"269","Drishyam","2015"
"270","Dial M for Murder","1954"
"271","Rashomon","1950"
"272","Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","2020"
"273","Yojimbo","1961"
"274","Andhadhun","2018"
"275","Miracle in Cell No. 7","2019"
"276","The Treasure of the Sierra Madre","1948"
"277","Swades","2004"
"278","The Wages of Fear","1953"
"279","Children of Heaven","1997"
"280","Pather Panchali","1955"
"281","A Face in the Crowd","1957"
"282","Satantango","1994"
"283","To Be or Not to Be","1942"
"284","Vikram Vedha","2017"
"285","K.G.F: Chapter 1","2018"
"286","The Kid","1921"
"287","Z","1969"
"288","Sherlock Jr.","1924"
"289","Close-Up","1990"
"290","Baahubali 2: The Conclusion","2017"
"291","Ugetsu","1953"
"292","A Brighter Summer Day","1991"
"293","Lion of the Desert","1980"
"294","My Father and My Son","2005"
"295","Zindagi Na Milegi Dobara","2011"
"296","Rocco and His Brothers","1960"
"297","It's Such a Beautiful Day","2012"
"298","Late Spring","1949"
"299","Dersu Uzala","1975"
"300","A Man Escaped","1956"
"301","Uri: The Surgical Strike","2019"
"302","The Mountain II","2016"
"303","I Am Cuba","1964"
"304","Life and a Day","2016"
"305","Umberto D.","1952"
"306","Aparajito","1956"
"307","Il Sorpasso","1962"
"308","Rangasthalam 1985","2018"
"309","I Am a Fugitive from a Chain Gang","1932"
"310","Ivan Vasilyevich Changes His Profession","1973"
"311","Bhaag Milkha Bhaag","2013"
"312","Champion","2018"
"313","Paan Singh Tomar","2012"
"314","Shahid","2012"
"315","Theeran Adhigaram Ondru","2017"
"316","Pocket Hercules: Naim Süleymanoglu","2019"
"317","Dhuruvangal Pathinaaru","2016"
"318","Ustad Hotel","2012"
"319","Jigarthanda","2014"
"320","Vaaranam Aayiram","2008"
"321","Athadu","2005"
"322","RangiTaranga","2015"
"323","Ballad of a Soldier","1959"
"324","The Exorcist","1973"
"325","Prisoners","2013"
"326","Stand by Me","1986"
"327","Harry Potter and the Deathly Hallows: Part 2","2011"
"328","Mad Max: Fury Road","2015"
"329","Gone Girl","2014"
"330","Pirates of the Caribbean: The Curse of the Black Pearl","2003"
"331","The Deer Hunter","1978"
"332","The Grand Budapest Hotel","2014"
"333","Hacksaw Ridge","2016"
"334","Jaws","1975"
"335","Blade Runner","1982"
"336","Three Billboards Outside Ebbing, Missouri","2017"
"337","The Big Lebowski","1998"
"338","Fargo","1996"
"339","Ratatouille","2007"
"340","The Terminator","1984"
"341","Dead Poets Society","1989"
"342","Ford v Ferrari","2019"
"343","The Wizard of Oz","1939"
"344","Catch Me If You Can","2002"
"345","The Handmaiden","2016"
"346","The Help","2011"
"347","Inside Out","2015"
"348","Into the Wild","2007"
"349","Trainspotting","1996"
"350","Logan","2017"
"351","Rush","2013"
"352","Memories of Murder","2003"
"353","Rocky","1976"
"354","The Sound of Music","1965"
"355","Lock, Stock and Two Smoking Barrels","1998"
"356","Monsters, Inc.","2001"
"357","Spotlight","2015"
"358","Platoon","1986"
"359","12 Years a Slave","2013"
"360","Room","2015"
"361","How to Train Your Dragon","2010"
"362","Warrior","2011"
"363","In the Mood for Love","2000"
"364","Before Sunrise","1995"
"365","Barry Lyndon","1975"
"366","Portrait of a Lady on Fire","2019"
"367","The Man Who Shot Liberty Valance","1962"
"368","Raging Bull","1980"
"369","Mr. Smith Goes to Washington","1939"
"370","La haine","1995"
"371","My Neighbor Totoro","1988"
"372","Gran Torino","2008"
"373","The Iron Giant","1999"
"374","Ben-Hur","1959"
"375","Million Dollar Baby","2004"
"376","Stalker","1979"
"377","Paris, Texas","1984"
"378","Wild Tales","2014"
"379","Network","1976"
"380","The Seventh Seal","1957"
"381","Before Sunset","2004"
"382","The Third Man","1949"
"383","Amores Perros","2000"
"384","Hachi: A Dog's Tale","2009"
"385","On the Waterfront","1954"
"386","A Silent Voice: The Movie","2016"
"387","In the Name of the Father","1993"
"388","Cool Hand Luke","1967"
"389","Persona","1966"
"390","The Bridge on the River Kwai","1957"
"391","Rebecca","1940"
"392","Hotel Rwanda","2004"
"393","Farewell My Concubine","1992"
"394","PK","2014"
"395","Paper Moon","1973"
"396","It Happened One Night","1934"
"397","Neon Genesis Evangelion: The End of Evangelion","1997"
"398","Tokyo Story","1953"
"399","The Grapes of Wrath","1940"
"400","The Celebration","1998"
"401","The Best Years of Our Lives","1946"
"402","A Woman Under the Influence","1974"
"403","All Quiet on the Western Front","1930"
"405","Safety Last!","1923"
"406","Mary and Max","2009"
"407","The Red Shoes","1948"
"408","Underground","1995"
"409","The 400 Blows","1959"
"410","OMG: Oh My God!","2012"
"411","Three Colors: Red","1994"
"412","Wild Strawberries","1957"
"413","The Battle of Algiers","1966"
"414","Fanny and Alexander","1982"
"415","Winter Sleep","2014"
"416","Kahaani","2012"
"417","Andrei Rublev","1966"
"418","The Miracle Worker","1962"
"419","Sholay","1975"
"420","Diabolique","1955"
"421","Miracle in Cell No. 7","2013"
"422","Chak De! India","2007"
"423","Yi Yi: A One and a Two...","2000"
"424","Lagaan: Once Upon a Time in India","2001"
"425","The Hidden Fortress","1958"
"426","Throne of Blood","1957"
"427","Sunrise","1927"
"428","Inherit the Wind","1960"
"429","Time of the Gypsies","1988"
"430","The General","1926"
"431","The Passion of Joan of Arc","1928"
"432","Wolf Children","2012"
"433","Nights of Cabiria","1957"
"434","Dil Chahta Hai","2001"
"435","The Gold Rush","1925"
"436","Autumn Sonata","1978"
"437","The Virgin Spring","1960"
"438","Bajrangi Bhaijaan","2015"
"439","Where Is the Friend's House?","1987"
"440","A Special Day","1977"
"441","Rang De Basanti","2006"
"442","Raise the Red Lantern","1991"
